,13391_bright_pixels,13391_bright_columns,13391_dark_pixels,13391_dark_columns,13401_bright_pixels,13401_bright_columns,13401_dark_pixels,13401_dark_columns,13505_bright_pixels,13505_bright_columns,13505_dark_pixels,13505_dark_columns,13550_bright_pixels,13550_bright_columns,13550_dark_pixels,13550_dark_columns,DetectorNumber,Manufacturer,Raft
R33_S10,14.0,0.0,26623.0,21.0,7.0,0.0,26763.0,21.0,13.0,0.0,26699.0,21.0,13.0,0.0,26633.0,21.0,147,E2V,R33
R33_S11,12.0,0.0,25698.0,20.0,11.0,0.0,25752.0,20.0,12.0,0.0,25692.0,20.0,12.0,0.0,25681.0,20.0,148,E2V,R33
R33_S12,25.0,2.0,28090.0,20.0,19.0,1.0,28318.0,20.0,32.0,1.0,28182.0,20.0,34.0,1.0,28192.0,20.0,149,E2V,R33
R33_S20,70.0,4.0,27853.0,20.0,31.0,4.0,27951.0,20.0,45.0,4.0,27809.0,20.0,45.0,4.0,27810.0,20.0,150,E2V,R33
R33_S21,1533.0,6.0,27919.0,20.0,25.0,4.0,28002.0,20.0,31.0,4.0,27836.0,20.0,31.0,4.0,27882.0,20.0,151,E2V,R33
R33_S22,11.0,0.0,25055.0,20.0,1.0,0.0,25113.0,20.0,5.0,0.0,25246.0,20.0,5.0,0.0,25284.0,20.0,152,E2V,R33
R34_S00,76.0,6.0,29514.0,20.0,69.0,5.0,29562.0,20.0,90.0,5.0,29386.0,20.0,90.0,5.0,29345.0,20.0,153,E2V,R34
R34_S01,19.0,0.0,28097.0,21.0,12.0,0.0,27942.0,21.0,17.0,0.0,28096.0,21.0,17.0,0.0,28103.0,21.0,154,E2V,R34
R34_S02,8.0,0.0,27465.0,22.0,2.0,0.0,27428.0,22.0,5.0,0.0,28275.0,22.0,5.0,0.0,28272.0,22.0,155,E2V,R34
R34_S10,19.0,0.0,27963.0,20.0,10.0,0.0,27796.0,20.0,15.0,0.0,28634.0,20.0,15.0,0.0,28638.0,20.0,156,E2V,R34
R34_S11,1449.0,6.0,27054.0,20.0,604.0,6.0,26898.0,20.0,434.0,6.0,28633.0,20.0,474.0,6.0,28637.0,20.0,157,E2V,R34
R34_S12,13.0,0.0,29481.0,20.0,8.0,0.0,29418.0,20.0,10.0,0.0,29614.0,20.0,10.0,0.0,29624.0,20.0,158,E2V,R34
R34_S20,52.0,0.0,27854.0,20.0,34.0,0.0,27888.0,20.0,39.0,0.0,29199.0,20.0,39.0,0.0,29175.0,20.0,159,E2V,R34
R34_S21,35.0,3.0,27901.0,20.0,27.0,3.0,27809.0,20.0,30.0,4.0,29240.0,20.0,50.0,3.0,29229.0,20.0,160,E2V,R34
R34_S22,4.0,0.0,30872.0,351.0,4.0,0.0,30829.0,351.0,4.0,0.0,32118.0,271.0,4.0,0.0,32113.0,271.0,161,E2V,R34
R41_S00,49.0,1.0,23904.0,0.0,49.0,1.0,24054.0,0.0,53.0,1.0,24033.0,0.0,53.0,1.0,24036.0,0.0,162,ITL,R41
R41_S01,24.0,0.0,22703.0,0.0,24.0,0.0,23110.0,0.0,28.0,0.0,23124.0,0.0,28.0,0.0,23107.0,0.0,163,ITL,R41
R41_S02,17.0,0.0,25161.0,0.0,18.0,0.0,25245.0,0.0,20.0,0.0,33255.0,0.0,20.0,0.0,33260.0,0.0,164,ITL,R41
